"Tid","Typ","Text"
"2026-03-10 09:25:17.935","Information","Sequence 31 emptied 1 valves in 2 minutes"
"2026-03-10 09:18:48.037","Information","Sequence 21 queued"
"2026-03-10 09:18:08.487","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-10 09:18:08.417","Information","Sequence 31 queued"
"2026-03-10 09:18:08.417","Information","Sequence 31 start"
"2026-03-10 09:06:41.719","Information","Container 3 connected"
"2026-03-10 08:32:55.857","Information","Sequence 31 emptied 1 valves in 2 minutes"
"2026-03-10 08:25:38.499","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-10 08:25:38.430","Information","Sequence 31 start"
"2026-03-10 08:25:38.430","Information","Sequence 31 queued"
"2026-03-10 08:24:52.300","Information","Sequence 21 emptied 2 valves in 4 minutes"
"2026-03-10 08:15:43.921","Information","Sequence 21 start"
"2026-03-10 08:15:43.921","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-10 08:15:43.851","Information","Sequence 21 queued"
"2026-03-10 08:11:28.212","Information","Container 3 disconnected"
"2026-03-10 06:23:23.717","Information","Remote connection 0 (0=off, 1=on)"
"2026-03-10 06:23:12.588","Generellt","Warning! High compressed air leakage"
"2026-03-10 06:23:08.528","Generellt","Alarm reset"
"2026-03-10 06:22:33.458","Information","Remote connection 1 (0=off, 1=on)"
"2026-03-10 03:42:30.771","Information","Sequence 42 emptied 8 valves in 7 minutes"
"2026-03-10 03:30:00.094","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-10 03:30:00.023","Information","Sequence 42 queued"
"2026-03-10 03:30:00.023","Information","Sequence 42 start"
"2026-03-10 02:49:58.823","Information","Sequence 41 emptied 11 valves in 14 minutes"
"2026-03-10 02:30:00.078","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-10 02:30:00.007","Information","Sequence 41 start"
"2026-03-10 02:30:00.007","Information","Sequence 41 queued"
"2026-03-09 21:04:48.143","Information","Sequence 22 emptied 1 valves in 1 minutes"
"2026-03-09 20:58:24.966","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-09 20:58:24.895","Information","Sequence 22 start"
"2026-03-09 20:58:24.895","Information","Sequence 22 queued"
"2026-03-09 19:56:18.249","Information","Sequence 31 emptied 1 valves in 2 minutes"
"2026-03-09 19:49:48.841","Information","Sequence 21 queued"
"2026-03-09 19:49:09.291","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-09 19:49:09.221","Information","Sequence 31 queued"
"2026-03-09 19:49:09.221","Information","Sequence 31 start"
"2026-03-09 19:22:21.677","Information","Sequence 31 emptied 1 valves in 2 minutes"
"2026-03-09 19:15:53.948","Information","Sequence 21 queued"
"2026-03-09 19:15:14.401","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-09 19:15:14.329","Information","Sequence 31 queued"
"2026-03-09 19:15:14.329","Information","Sequence 31 start"
"2026-03-09 16:59:43.370","Information","Remote connection 0 (0=off, 1=on)"
"2026-03-09 16:59:32.380","Information","Remote connection 1 (0=off, 1=on)"
"2026-03-09 16:56:45.571","Information","Sequence 21 emptied 1 valves in 4 minutes"
"2026-03-09 16:47:38.453","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-09 16:47:38.453","Information","Sequence 21 start"
"2026-03-09 16:47:38.383","Information","Sequence 21 queued"
"2026-03-09 15:55:17.425","Information","Sequence 31 emptied 1 valves in 2 minutes"
"2026-03-09 15:49:32.816","Information","Remote connection 0 (0=off, 1=on)"
"2026-03-09 15:49:23.647","Information","Remote connection 1 (0=off, 1=on)"
"2026-03-09 15:48:48.297","Information","Sequence 21 queued"
"2026-03-09 15:48:08.747","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-09 15:48:08.677","Information","Sequence 31 queued"
